,marital_status,application_mode,course,time_attendance,previous_qualification,mother_qualification,father_qualification,mother_occupation,father_occupation,displaced,debtor,tuition_fees_up_to_date,gender,scholarship_holder,Application_order,Previous_qualification_grade,Admission_grade,Age_at_enrollment,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,GDP,graduate
404,single,1st phase - general contingent,Nursing,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",yes,no,yes,female,yes,3.0,128.0,118.6,19.0,0.0,7.0,9.0,6.0,11.814285714285717,0.0,0.79,1
405,single,1st phase - general contingent,Communication Design,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Installation and Machine Operators and Assembly Workers,no,no,yes,female,no,1.0,115.0,123.4,23.0,1.0,6.0,8.0,6.0,13.0,1.0,0.79,1
406,single,1st phase - general contingent,Advertising and Marketing Management,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",no,no,yes,female,no,1.0,125.0,124.0,19.0,0.0,6.0,7.0,6.0,14.857142857142858,0.0,1.79,1
407,single,1st phase - general contingent,Nursing,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Higher Education - Degree,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,yes,no,yes,female,no,6.0,137.0,121.3,20.0,0.0,7.0,7.0,6.0,12.6,0.0,0.32,1
408,single,Holders of other higher courses,Equinculture,daytime,Higher education - degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,Other Situation,"Personal Services, Security and Safety Workers and Sellers",no,yes,no,female,no,3.0,130.0,130.0,27.0,1.0,5.0,6.0,2.0,11.5,0.0,-1.7,0
409,single,Over 23 years old,Oral Hygiene ,daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Basic education 1st cycle (4th/5th year) or equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,Unskilled Workers,no,no,yes,female,no,1.0,100.0,120.0,29.0,0.0,7.0,9.0,1.0,10.0,0.0,-1.7,0
410,single,2nd phase - general contingent,Tourism,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,Intermediate Level Technicians and Professions,yes,no,yes,female,no,1.0,122.0,130.4,18.0,0.0,6.0,10.0,5.0,11.8,0.0,2.02,1
411,single,2nd phase - general contingent,Communication Design,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",no,no,yes,female,no,1.0,126.0,118.7,18.0,0.0,6.0,7.0,5.0,11.8,0.0,-0.92,1
412,single,2nd phase - general contingent,Nursing,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",no,no,yes,female,no,1.0,128.0,131.5,18.0,0.0,8.0,8.0,8.0,12.77125,0.0,-3.12,1
413,single,2nd phase - general contingent,Tourism,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,Unskilled Workers,yes,no,yes,female,no,2.0,128.0,129.1,18.0,0.0,6.0,6.0,6.0,12.666666666666666,0.0,2.02,1
414,single,Holders of other higher courses,Veterinary Nursing,daytime,Higher education - degree,Higher Education - Degree,Higher Education - Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Ma","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Ma",no,no,no,female,no,2.0,130.0,130.0,28.0,0.0,5.0,9.0,1.0,12.0,1.0,1.74,0
415,single,1st phase - general contingent,Nursing,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",yes,no,yes,female,yes,2.0,135.0,132.8,18.0,0.0,8.0,12.0,7.0,11.721428571428572,0.0,-1.7,1
416,single,1st phase - general contingent,Journalism and Communication,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Intermediate Level Technicians and Professions,yes,no,yes,female,no,2.0,138.0,133.5,18.0,0.0,6.0,6.0,6.0,12.666666666666666,0.0,-1.7,1
417,single,1st phase - general contingent,Equinculture,daytime,Secondary education,Higher Education - Doctorate,Higher Education - Doctorate,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,no,no,yes,female,no,1.0,150.0,146.2,18.0,0.0,5.0,12.0,4.0,13.0,2.0,-3.12,0
418,single,1st phase - general contingent,Management,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",no,no,yes,female,no,2.0,125.0,115.2,21.0,0.0,5.0,6.0,0.0,0.0,0.0,-4.06,0
419,married,Over 23 years old,Social Service (evening attendance),evening,Secondary education,Unknown,Unknown ,(blank),(blank),no,no,no,female,no,1.0,120.0,101.8,32.0,0.0,5.0,5.0,0.0,0.0,0.0,1.74,0
420,single,Over 23 years old,Advertising and Marketing Management,daytime,Secondary education,Unknown,Unknown ,Student,Student,no,no,yes,female,no,2.0,140.0,100.0,28.0,0.0,5.0,6.0,4.0,12.5,0.0,0.32,1
421,single,Over 23 years old,Management (evening attendance),evening,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Specialists in Intellectual and Scientific Activities,no,no,no,female,no,1.0,100.0,121.9,40.0,0.0,4.0,4.0,0.0,0.0,0.0,-1.7,0
422,married,3rd phase - general contingent,Social Service (evening attendance),evening,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Armed Forces Professions,no,yes,no,female,no,2.0,140.0,120.4,39.0,0.0,5.0,5.0,0.0,0.0,0.0,-3.12,0
423,married,3rd phase - general contingent,Social Service,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Armed Forces Professions,no,yes,no,female,no,2.0,140.0,120.4,39.0,0.0,6.0,0.0,0.0,0.0,0.0,-3.12,0
424,married,Over 23 years old,Agronomy,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Administrative staff,no,no,yes,female,no,1.0,120.0,148.8,50.0,0.0,6.0,7.0,6.0,12.5,0.0,3.51,1
425,single,2nd phase - general contingent,Basic Education,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Administrative staff,yes,no,yes,female,no,2.0,138.0,123.0,23.0,0.0,6.0,10.0,5.0,12.8,0.0,1.74,0
426,divorced,Over 23 years old,Social Service (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Unknown,Unknown ,Student,Student,no,no,yes,female,no,1.0,133.1,100.0,48.0,0.0,6.0,11.0,1.0,10.0,0.0,-3.12,0
427,single,2nd phase - general contingent,Basic Education,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Unskilled Workers,yes,no,yes,female,no,2.0,118.0,112.1,23.0,0.0,6.0,11.0,4.0,11.25,0.0,0.32,0
428,single,1st phase - general contingent,Nursing,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",yes,no,yes,female,yes,6.0,135.0,126.8,18.0,0.0,8.0,8.0,7.0,12.61,0.0,1.74,1
429,single,2nd phase - general contingent,Equinculture,daytime,Secondary education,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Specialists in Intellectual and Scientific Activities,Unskilled Workers,no,no,yes,female,no,1.0,130.0,115.9,18.0,0.0,5.0,14.0,2.0,12.0,2.0,-3.12,1
430,single,International student (bachelor),Social Service,daytime,Secondary education,Higher Education - Degree,Basic education 1st cycle (4th/5th year) or equiv,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,yes,no,no,female,no,1.0,150.0,132.5,20.0,0.0,6.0,9.0,5.0,13.0,0.0,0.79,1
431,single,3rd phase - general contingent,Veterinary Nursing,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,yes,no,yes,female,yes,3.0,149.0,132.2,18.0,0.0,5.0,9.0,4.0,12.0,0.0,1.74,1
432,single,1st phase - general contingent,Oral Hygiene ,daytime,Secondary education,Higher Education - Doctorate,Higher Education - Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Ma","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Ma",yes,no,yes,female,no,1.0,180.0,183.5,18.0,0.0,7.0,8.0,4.0,12.0,0.0,-0.92,0
433,single,Change of course,Informatics Engineering,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Intermediate Level Technicians and Professions,no,no,yes,male,no,1.0,133.1,136.0,31.0,0.0,5.0,12.0,1.0,12.0,0.0,-0.92,0
434,single,Over 23 years old,Animation and Multimedia Design,daytime,Secondary education,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,yes,no,yes,male,no,1.0,145.0,114.5,24.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.12,1
435,single,Over 23 years old,Management,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Unskilled Workers,no,yes,no,male,no,1.0,110.0,110.3,26.0,0.0,5.0,5.0,0.0,0.0,0.0,1.74,0
436,single,1st phase - general contingent,Equinculture,daytime,Secondary education,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,yes,yes,yes,male,no,1.0,154.0,137.2,18.0,0.0,6.0,11.0,5.0,13.625,0.0,-0.92,0
437,single,2nd phase - general contingent,Advertising and Marketing Management,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Installation and Machine Operators and Assembly Workers,yes,no,yes,male,no,1.0,133.0,121.8,22.0,0.0,6.0,0.0,0.0,0.0,0.0,0.79,0
438,single,1st phase - general contingent,Nursing,daytime,Secondary education,Higher Education - Master,Higher Education - Bachelor,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,yes,no,yes,male,no,2.0,145.0,127.3,18.0,0.0,8.0,8.0,7.0,11.69,0.0,1.74,1
439,single,Technological specialization diploma holders,Communication Design,daytime,Technological specialization course,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",no,yes,no,male,no,1.0,120.0,120.0,20.0,0.0,6.0,11.0,0.0,0.0,6.0,-0.92,0
440,single,Technological specialization diploma holders,Animation and Multimedia Design,daytime,Technological specialization course,Higher Education - Master,Higher Education - Master,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,no,no,yes,male,no,1.0,150.0,150.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.06,1
441,single,Change of course,Management (evening attendance),evening,Secondary education,Higher Education - Degree,Higher Education - Degree,Administrative staff,Administrative staff,yes,no,yes,male,no,1.0,150.0,100.0,24.0,0.0,5.0,10.0,4.0,11.5,0.0,0.79,1
442,single,Over 23 years old,Informatics Engineering,daytime,Secondary education,Higher Education - Degree,Higher Education - Degree,Administrative staff,Administrative staff,yes,no,yes,male,no,1.0,150.0,150.0,27.0,0.0,5.0,10.0,1.0,14.0,0.0,3.51,0
443,single,2nd phase - general contingent,Tourism,daytime,Secondary education,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,Administrative staff,no,no,yes,male,no,1.0,127.0,116.9,21.0,0.0,6.0,7.0,5.0,11.0,0.0,-4.06,1
444,single,Technological specialization diploma holders,Agronomy,daytime,Technological specialization course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Intermediate Level Technicians and Professions,Unskilled Workers,yes,no,yes,male,no,1.0,140.0,140.0,21.0,0.0,6.0,7.0,6.0,12.857142857142858,0.0,1.79,1
445,single,3rd phase - general contingent,Journalism and Communication,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,yes,no,yes,male,no,3.0,128.0,122.1,19.0,0.0,6.0,9.0,4.0,12.5,0.0,1.74,0
446,single,Over 23 years old,Nursing,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",no,no,yes,male,no,1.0,127.0,160.0,28.0,0.0,7.0,7.0,7.0,14.528571428571428,0.0,-0.92,1
447,single,Technological specialization diploma holders,Agronomy,daytime,Technological specialization course,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,Armed Forces Professions,no,no,yes,male,yes,1.0,150.0,150.0,21.0,0.0,6.0,8.0,6.0,13.0,0.0,-4.06,1
448,single,1st phase - general contingent,Nursing,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,no,no,yes,male,yes,1.0,154.0,144.9,18.0,0.0,7.0,7.0,7.0,15.957142857142856,0.0,-0.92,1
449,single,2nd phase - general contingent,Management,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",yes,no,yes,male,no,2.0,125.0,116.3,19.0,0.0,5.0,8.0,5.0,13.25,0.0,0.79,1
450,single,1st phase - general contingent,Informatics Engineering,daytime,Secondary education,Other - 11th Year of Schooling,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",yes,no,yes,male,no,5.0,126.0,122.5,19.0,0.0,5.0,12.0,3.0,12.0,0.0,1.79,0
451,single,Over 23 years old,Journalism and Communication,daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,yes,yes,no,male,no,1.0,133.1,115.0,25.0,0.0,6.0,10.0,4.0,13.0,0.0,-1.7,0
452,single,Change of course,Communication Design,daytime,Secondary education,Other - 11th Year of Schooling,Other - 11th Year of Schooling,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Ma",Armed Forces Professions,no,yes,yes,male,no,1.0,115.0,115.0,21.0,5.0,11.0,12.0,9.0,11.77777777777778,0.0,-4.06,0
453,single,2nd phase - general contingent,Informatics Engineering,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Higher Education - Bachelor,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,yes,no,yes,male,no,3.0,117.0,119.8,19.0,0.0,5.0,10.0,2.0,11.0,0.0,2.02,0
454,single,2nd phase - general contingent,Management,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Administrative staff,no,no,yes,male,no,2.0,133.1,95.0,20.0,0.0,5.0,14.0,0.0,0.0,0.0,2.02,0
455,single,Technological specialization diploma holders,Agronomy,daytime,Technological specialization course,Higher Education - Degree,Higher Education - Bachelor,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,no,no,yes,male,no,1.0,150.0,150.0,25.0,9.0,14.0,16.0,14.0,12.428571428571429,0.0,-4.06,0
456,single,1st phase - general contingent,Animation and Multimedia Design,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Unskilled Workers,yes,no,yes,male,no,1.0,161.0,144.2,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1
457,single,Transfer,Nursing,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Higher Education - Degree,Unskilled Workers,Armed Forces Professions,yes,no,yes,male,no,1.0,111.0,128.2,23.0,0.0,8.0,8.0,8.0,12.5075,0.0,-3.12,1
458,single,Short cycle diploma holders,Agronomy,daytime,Professional higher technical course,Higher Education - Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,"Office workers, secretaries in general and data processing operators",personal service workers,no,no,yes,male,no,1.0,140.0,135.3,21.0,7.0,12.0,18.0,11.0,12.090909090909092,0.0,3.51,1
459,single,Over 23 years old,Management (evening attendance),evening,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Armed Forces Professions,no,no,yes,male,no,1.0,139.0,140.7,25.0,0.0,5.0,13.0,1.0,10.0,0.0,1.79,0
460,single,1st phase - general contingent,Equinculture,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,Unskilled Workers,yes,no,yes,male,no,1.0,132.0,130.4,18.0,0.0,6.0,6.0,6.0,13.5,0.0,3.51,1
461,single,1st phase - general contingent,Communication Design,daytime,Frequency of higher education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,yes,no,yes,male,no,6.0,119.0,123.2,22.0,0.0,6.0,6.0,6.0,14.166666666666666,0.0,1.74,1
462,single,Over 23 years old,Advertising and Marketing Management,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Intermediate Level Technicians and Professions,Unskilled Workers,no,no,yes,male,no,1.0,133.1,118.0,27.0,0.0,6.0,7.0,6.0,14.0,0.0,3.51,1
463,single,Over 23 years old,Agronomy,daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Higher Education - Master,Secondary Education - 12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,Administrative staff,no,no,yes,male,no,1.0,133.1,120.0,25.0,0.0,3.0,4.0,0.0,0.0,0.0,-0.92,0
464,single,2nd phase - general contingent,Informatics Engineering,daytime,Secondary education,Unknown,Can read without having a 4th year of schooling,Student,"Personal Services, Security and Safety Workers and Sellers",yes,no,yes,male,no,4.0,129.0,118.9,18.0,0.0,5.0,9.0,3.0,11.666666666666666,0.0,0.32,0
465,single,2nd phase - general contingent,Veterinary Nursing,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,no,no,yes,male,no,1.0,128.0,117.2,20.0,0.0,5.0,7.0,5.0,14.6,1.0,-1.7,1
466,single,Over 23 years old,Agronomy,daytime,Secondary education,Higher Education - Degree,Higher Education - Master,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,no,no,yes,male,no,1.0,120.0,120.0,27.0,0.0,6.0,10.0,5.0,13.0,0.0,-0.92,1
467,single,1st phase - general contingent,Social Service (evening attendance),evening,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,no,no,yes,male,no,1.0,130.0,118.1,20.0,0.0,6.0,7.0,6.0,12.166666666666666,0.0,0.32,1
468,single,1st phase - general contingent,Management,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Unskilled Workers,yes,no,yes,male,no,1.0,130.0,124.8,22.0,0.0,5.0,9.0,0.0,0.0,0.0,0.32,0
469,single,2nd phase - general contingent,Informatics Engineering,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Higher Education - Degree,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,yes,no,yes,male,no,6.0,111.0,106.5,19.0,0.0,5.0,10.0,3.0,10.5,0.0,1.79,0
470,single,Change of course,Animation and Multimedia Design,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Other - 11th Year of Schooling,Unskilled Workers,Armed Forces Professions,no,no,yes,male,no,4.0,117.0,109.3,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.12,1
471,married,Over 23 years old,Veterinary Nursing,daytime,12th year of schooling - not completed,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Administrative staff,yes,no,no,male,no,1.0,133.1,120.0,29.0,0.0,5.0,12.0,0.0,0.0,4.0,-3.12,0
472,single,1st phase - general contingent,Nursing,daytime,Secondary education,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,no,no,yes,male,no,2.0,149.0,137.5,19.0,0.0,8.0,8.0,7.0,13.828571428571427,0.0,-1.7,1
473,married,1st phase - general contingent,Social Service,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",no,no,yes,female,no,1.0,134.0,120.4,20.0,0.0,6.0,7.0,6.0,11.5,0.0,0.32,1
474,single,1st phase - general contingent,Communication Design,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Installation and Machine Operators and Assembly Workers,yes,no,yes,female,no,4.0,136.0,136.7,20.0,0.0,6.0,6.0,4.0,13.5,0.0,1.74,1
475,single,Over 23 years old,Social Service (evening attendance),evening,Secondary education,Unknown,Higher Education - Doctorate,Student,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Ma",yes,no,yes,female,no,1.0,133.1,118.5,31.0,0.0,6.0,12.0,0.0,0.0,0.0,0.32,0
476,single,2nd phase - general contingent,Nursing,daytime,Secondary education,Other - 11th Year of Schooling,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",yes,no,yes,female,no,5.0,141.0,133.0,18.0,0.0,7.0,8.0,7.0,12.5375,0.0,0.79,1
477,single,1st phase - general contingent,Management,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,Installation and Machine Operators and Assembly Workers,yes,no,yes,female,no,1.0,148.0,133.0,18.0,0.0,5.0,10.0,4.0,12.0,0.0,0.79,1
478,single,2nd phase - general contingent,Tourism,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",no,no,yes,female,no,1.0,102.0,102.0,19.0,0.0,6.0,8.0,5.0,11.8,0.0,1.74,1
479,single,1st phase - general contingent,Management,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,no,no,yes,female,yes,1.0,143.0,133.9,18.0,0.0,5.0,5.0,5.0,15.0,0.0,-1.7,1
480,single,2nd phase - general contingent,Veterinary Nursing,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Other Situation,Other Situation,no,no,yes,female,no,1.0,120.0,127.0,19.0,0.0,5.0,7.0,3.0,12.0,0.0,0.32,1
481,single,2nd phase - general contingent,Journalism and Communication,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,Installation and Machine Operators and Assembly Workers,yes,no,yes,female,yes,1.0,121.0,120.4,18.0,0.0,6.0,6.0,6.0,12.833333333333334,0.0,-4.06,1
482,single,1st phase - general contingent,Tourism,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Intermediate Level Technicians and Professions,yes,no,yes,female,no,3.0,122.0,124.5,19.0,0.0,6.0,12.0,6.0,11.666666666666666,0.0,0.32,1
483,single,1st phase - general contingent,Oral Hygiene ,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,no,no,yes,female,no,4.0,122.0,123.9,19.0,0.0,7.0,9.0,7.0,12.1625,0.0,0.79,1
484,single,1st phase - general contingent,Advertising and Marketing Management,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Intermediate Level Technicians and Professions,yes,no,yes,female,no,2.0,123.0,117.8,18.0,0.0,6.0,6.0,6.0,13.833333333333334,0.0,1.74,1
485,single,Technological specialization diploma holders,Advertising and Marketing Management,daytime,Technological specialization course,Basic education 1st cycle (4th/5th year) or equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Administrative staff,no,no,yes,female,yes,1.0,110.0,110.0,20.0,2.0,6.0,9.0,6.0,12.125,0.0,2.02,1
486,single,Over 23 years old,Management (evening attendance),evening,Higher education - degree,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Unskilled Workers,no,no,yes,female,no,1.0,120.0,141.0,29.0,10.0,15.0,15.0,11.0,11.454545454545457,0.0,1.74,0
487,single,2nd phase - general contingent,Basic Education,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Other - 11th Year of Schooling,"Skilled Workers in Industry, Construction and Craftsmen",Student,no,no,no,female,yes,1.0,133.1,111.5,20.0,0.0,6.0,10.0,4.0,12.0,0.0,0.32,0
